# Branching ratios for NH3 -> (1)NH2 + H     (2)NH + H + H     from PhiDrates
# lambda , br_ratio_1, br_ratio_2
1.222e+02,    0.463,    0.537
1.225e+02,    0.469,    0.531
1.227e+02,    0.476,    0.524
1.229e+02,    0.481,    0.519
1.230e+02,    0.488,    0.512
1.230e+02,    0.494,    0.506
1.232e+02,    0.494,    0.506
1.233e+02,    0.494,    0.506
1.237e+02,    0.494,    0.506
1.238e+02,    0.498,    0.502
1.240e+02,    0.500,    0.500
1.242e+02,    0.504,    0.496
1.244e+02,    0.510,    0.490
1.247e+02,    0.515,    0.485
1.250e+02,    0.520,    0.480
1.252e+02,    0.526,    0.474
1.254e+02,    0.530,    0.470
1.256e+02,    0.533,    0.467
1.260e+02,    0.541,    0.459
1.262e+02,    0.545,    0.455
1.265e+02,    0.551,    0.449
1.268e+02,    0.556,    0.444
1.270e+02,    0.560,    0.440
1.270e+02,    0.560,    0.440
1.272e+02,    0.563,    0.437
1.275e+02,    0.570,    0.430
1.278e+02,    0.575,    0.425
1.280e+02,    0.580,    0.420
1.281e+02,    0.582,    0.418
1.282e+02,    0.584,    0.416
1.283e+02,    0.586,    0.414
1.284e+02,    0.588,    0.412
1.286e+02,    0.592,    0.408
1.287e+02,    0.593,    0.407
1.288e+02,    0.595,    0.405
1.289e+02,    0.598,    0.402
1.294e+02,    0.608,    0.392
1.295e+02,    0.609,    0.391
1.296e+02,    0.611,    0.389
1.297e+02,    0.612,    0.388
1.298e+02,    0.615,    0.385
1.299e+02,    0.616,    0.384
1.300e+02,    0.618,    0.382
1.301e+02,    0.620,    0.380
1.303e+02,    0.624,    0.376
1.305e+02,    0.627,    0.373
1.306e+02,    0.629,    0.371
1.308e+02,    0.633,    0.367
1.310e+02,    0.637,    0.363
1.312e+02,    0.641,    0.359
1.314e+02,    0.644,    0.356
1.314e+02,    0.645,    0.355
1.315e+02,    0.646,    0.354
1.316e+02,    0.647,    0.353
1.317e+02,    0.649,    0.351
1.319e+02,    0.654,    0.346
1.320e+02,    0.655,    0.345
1.321e+02,    0.656,    0.344
1.322e+02,    0.659,    0.341
1.324e+02,    0.663,    0.337
1.328e+02,    0.669,    0.331
1.330e+02,    0.674,    0.326
1.332e+02,    0.678,    0.322
1.335e+02,    0.682,    0.318
1.338e+02,    0.687,    0.313
1.340e+02,    0.690,    0.310
1.341e+02,    0.693,    0.307
1.342e+02,    0.695,    0.305
1.345e+02,    0.700,    0.300
1.346e+02,    0.702,    0.298
1.349e+02,    0.707,    0.293
1.351e+02,    0.709,    0.291
1.354e+02,    0.715,    0.285
1.356e+02,    0.719,    0.281
1.358e+02,    0.722,    0.278
1.359e+02,    0.725,    0.275
1.361e+02,    0.727,    0.273
1.362e+02,    0.728,    0.272
1.363e+02,    0.730,    0.270
1.364e+02,    0.732,    0.268
1.367e+02,    0.736,    0.264
1.368e+02,    0.740,    0.260
1.370e+02,    0.743,    0.257
1.372e+02,    0.745,    0.255
1.372e+02,    0.746,    0.254
1.373e+02,    0.749,    0.251
1.374e+02,    0.749,    0.251
1.377e+02,    0.754,    0.246
1.379e+02,    0.757,    0.243
1.380e+02,    0.759,    0.241
1.384e+02,    0.766,    0.234
1.385e+02,    0.767,    0.233
1.386e+02,    0.769,    0.231
1.389e+02,    0.774,    0.226
1.393e+02,    0.780,    0.220
1.396e+02,    0.785,    0.215
1.398e+02,    0.788,    0.212
1.398e+02,    0.789,    0.211
1.400e+02,    0.792,    0.208
1.401e+02,    0.793,    0.207
1.403e+02,    0.797,    0.203
1.407e+02,    0.803,    0.197
1.411e+02,    0.808,    0.192
1.412e+02,    0.811,    0.189
1.414e+02,    0.814,    0.186
1.416e+02,    0.816,    0.184
1.417e+02,    0.818,    0.182
1.418e+02,    0.819,    0.181
1.420e+02,    0.823,    0.177
1.421e+02,    0.825,    0.175
1.424e+02,    0.830,    0.170
1.425e+02,    0.831,    0.169
1.427e+02,    0.834,    0.166
1.428e+02,    0.836,    0.164
1.431e+02,    0.841,    0.159
1.433e+02,    0.844,    0.156
1.434e+02,    0.845,    0.155
1.437e+02,    0.850,    0.150
1.438e+02,    0.851,    0.149
1.440e+02,    0.854,    0.146
1.441e+02,    0.856,    0.144
1.444e+02,    0.860,    0.140
1.445e+02,    0.862,    0.138
1.447e+02,    0.864,    0.136
1.448e+02,    0.867,    0.133
1.450e+02,    0.869,    0.131
1.453e+02,    0.874,    0.126
1.455e+02,    0.877,    0.123
1.457e+02,    0.880,    0.120
1.463e+02,    0.889,    0.111
1.466e+02,    0.893,    0.107
1.467e+02,    0.894,    0.106
1.468e+02,    0.896,    0.104
1.470e+02,    0.899,    0.101
1.471e+02,    1.000,    0.000
2.798e+02,    1.000,    0.000
