# VULCAN P-H-O network for reducing atmospheres
##########################################################################################################################################################
# logged history
# 11.2022 Elspeth K. H.  Lee - converted from Wang et al. (2016)/Twarowski (1995) P/H/O network with H/O reaction coefficients from VULCAN -
# This is the full Wang et al. (2016) P/H/O network with added photochemical reactions
# 5.2023 Elspeth K. H.  Lee - Added (non speculative) Moses reactions and replaced some reactions
# 6.2023 Elspeth K. H. Lee - Added Plane P2O6 reaction rate + photochemical species
##########################################################################################################################################################
# In Temp, KIDA means the values are close to those on KIDA
# in the form of k = A T^B exp(-C/T)
# Two-body Reactions
# id	Reactions                           	A       	B       	C      Ref 			             Temp

#95   [ H + PH2 -> H2 + PH                 ]  5.25E-11      0.000     2609.91     Wang et al. (2016)/Twarowski (1995)
57   [ H + PH2 -> H2 + PH                 ]   1.940E-16    1.8025    47.26        Klippenstein calculation
#99   [ H + PH -> H2 + P                   ]  5.25E-11      0.000     2512.49     Wang et al. (2016)/Twarowski (1995)
#95   [ H2 + P -> PH + H                   ]  6.7E-10       0.0       17349.00       Douglas et al. (2022)
59   [ H + PH -> P + H2                   ]   1.540E-15     1.5073    5.7185      Klippenstein calculation
61   [ H + P2O -> OH + P2                 ]  5.25E-11      0.000     2807.16     Wang et al. (2016)/Twarowski (1995)
63   [ H + P2O -> PO + PH                 ]  5.25E-11      0.000     2810.76     Wang et al. (2016)/Twarowski (1995)
65   [ H + P2O -> HPO + P                 ]  5.25E-11      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
67   [ H + P2O2 -> PO + HPO               ]  5.25E-11      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
69   [ H + H2POH -> H2O + PH2             ]  5.25E-11      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
71   [ H + H2POH -> H2 + HPOH             ]  5.25E-11      0.000     2089.13     Wang et al. (2016)/Twarowski (1995)
73   [ H + HPOH -> H2O + PH               ]  5.25E-11      0.000     0.0          Wang et al. (2016)/Twarowski (1995)
75   [ H + HPOH -> H2 + HPO               ]  5.25E-11      0.000     2863.68     Wang et al. (2016)/Twarowski (1995)
#115  [ O + HOPO -> OH + PO2               ]  5.25E-11      0.000     0.0          Wang et al. (2016)/Twarowski (1995)
77   [ O + HOPO -> OH + PO2               ]  1.660E-11     0.000      0.00       Jayaweera+05; Glaude+00
79   [ O + HOPO2 -> O2 + HOPO             ]  5.25E-11      0.000     4150.60     Wang et al. (2016)/Twarowski (1995)
#81   [ O + PO3 -> O2 + PO2                ]  5.25E-11      0.000     0.0          Wang et al. (2016)/Twarowski (1995)
81   [ O + PO3 -> O2 + PO2                ]  5.04E-11      -0.04     0.00        Plane_et_al.(2021)
83   [ O + P2O3 -> PO + PO3               ]  5.25E-11      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
85   [ O + P2O3 -> PO2 + PO2              ]  5.25E-11      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
#125  [ O + HPO -> H + PO2                 ]  5.25E-11      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
87   [ O + HPO -> H + PO2                 ]  1.660E-11      0.000     1511.00    Jayaweera+05
#127  [ O + HPO -> OH + PO                 ]  5.25E-11      0.000     1392.75     Wang et al. (2016)/Twarowski (1995)
89   [ O + HPO -> OH + PO                 ]  2.823E-16     1.500      0.00       Jayaweera+05
91   [ O + P2 -> PO + P                   ]  5.25E-11      0.000     2288.78     Wang et al. (2016)/Twarowski (1995)
#131  [ O + PH3 -> OH + PH2                ]  5.25E-11      0.000     1418.01     Wang et al. (2016)/Twarowski (1995)
93   [ O + PH3 -> OH + PH2                ]  2.855E-18      2.296     915.60    Wang+05
95   [ O + PH3 -> HPOH + H                ]  4.75E-11      0.000     0.0        Nava and Stief (1989) 208-408 
97   [ O + PH2 -> H + HPO                 ]  5.25E-11      0.000     0.0        Wang et al. (2016)/Twarowski (1995)
99   [ O + PH2 -> OH + PH                 ]  5.25E-11      0.000     1864.22     Wang et al. (2016)/Twarowski (1995)
#141  [ O + PH -> H + PO                   ]  5.25E-11      0.000     1201.52    Wang et al. (2016)/Twarowski (1995)
101  [ O + PH -> PO + H                   ]  2.00E-10     0.0     0.0         Douglas et al. (2022)
103  [ O + PH -> OH + P                   ]  5.25E-11      0.000     1873.84     Wang et al. (2016)/Twarowski (1995)
105  [ O + P2O -> O2 + P2                 ]  5.25E-11      0.000     1704.26     Wang et al. (2016)/Twarowski (1995)
107  [ O + P2O -> PO + PO                 ]  5.25E-11      0.000     849.12     Wang et al. (2016)/Twarowski (1995)
109  [ O + P2O -> PO2 + P                 ]  5.25E-11      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
111  [ O + P2O2 -> O2 + P2O               ]  5.25E-11      0.000     3089.80     Wang et al. (2016)/Twarowski (1995)
113  [ O + P2O2 -> PO + PO2               ]  5.25E-11      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
115  [ O + H2POH -> OH + HPOH             ]  5.25E-11      0.000     1408.39     Wang et al. (2016)/Twarowski (1995)
117  [ O + HPOH -> H + HOPO               ]  5.25E-11      0.000     0.0          Wang et al. (2016)/Twarowski (1995)
119  [ O + HPOH -> OH + HPO               ]  5.25E-11      0.000     2310.43     Wang et al. (2016)/Twarowski (1995)
#161  [ OH + PO -> H + PO2                 ]  5.25E-13      0.000     3004.40        Wang et al. (2016)/Twarowski (1995)
121  [ OH + PO -> H + PO2                 ]  1.2E-10      0.000      0.0          Douglas et al. (2022)
#163  [ OH + HOPO -> H2O + PO2             ]  5.25E-13      0.000     0.0       Wang et al. (2016)/Twarowski (1995)
123  [ OH + HOPO -> H2O + PO2             ]  6.17E-11      -0.219    1610.30    Mackie et al. (2002)
#125  [ OH + HOPO -> H + HOPO2             ]  5.25E-13      0.000     4886.67     Wang et al. (2016)/Twarowski (1995)
125  [ OH + HOPO -> H + HOPO2             ]  7.69E-08      -1.25     0.0        Plane_et_al.(2021)
#163  [ OH + PO3 -> O + HOPO2              ]  5.25E-13      0.000     0.0        Wang et al. (2016)/Twarowski (1995)
127  [ O + HOPO2 -> OH + PO3              ]  1.660E-11      0.000    6194.00    Jayaweera+05; Glaude+00
129  [ OH + P2O3 -> PO + HOPO2            ]  5.25E-13      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
131  [ OH + P2O3 -> PO2 + HOPO            ]  5.25E-13      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
#169  [ OH + HPO -> H2O + PO               ]  5.25E-13      0.000     873.18     Wang et al. (2016)/Twarowski (1995)
133  [ OH + HPO -> H2O + PO               ]  2.000E-18      2.000     1007.00   **Jayaweera+05; cap at 2e-10 low T (sign typo for Ea in file?)
135  [ OH + HPO -> H + HOPO               ]  5.25E-13      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
#177  [ OH + P -> H + PO                   ]  5.25E-11      0.000     2344.11   Wang et al. (2016)/Twarowski (1995)
137  [ OH + P -> H + PO                   ]  3.61E-11      -0.29     0.0         Douglas et al. (2022)
139  [ OH + PH3 -> H2O + PH2              ]  2.71E-11      0.000     155.15      Fritz et al. (1982) 250-450
141  [ OH + PH3 -> H + H2POH              ]  5.25E-13      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
143  [ OH + PH2 -> H2O + PH               ]  5.25E-13      0.000     1126.95     Wang et al. (2016)/Twarowski (1995)
145  [ OH + PH2 -> H + HPOH               ]  5.25E-13      0.000     0.0         Wang et al. (2016)/Twarowski (1995)
#187  [ OH + PH -> H2O + P                 ]  5.25E-13      0.000     1223.17   Wang et al. (2016)/Twarowski (1995) 
147  [ OH + PH -> H2O + P                 ]  3.86E-11      0.167     0.0         Douglas et al. (2022)
149  [ OH + PH -> H + HPO                 ]  5.25E-13      0.000     2287.58     Wang et al. (2016)/Twarowski (1995)
151  [ OH + P2O -> H + P2O2               ]  5.25E-13      0.000     7167.03     Wang et al. (2016)/Twarowski (1995)
153  [ OH + P2O -> HOPO + P               ]  5.25E-13      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
155  [ OH + P2O2 -> PO + HOPO             ]  5.25E-13      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
157  [ OH + H2POH -> H2O + HPOH          ]  5.25E-13      0.000     823.87      Wang et al. (2016)/Twarowski (1995)
159  [ OH + HPOH -> H2O + HPO            ]  5.25E-13      0.000     1650.14     Wang et al. (2016)/Twarowski (1995)
161  [ HO2 + PO -> O2 + HPO              ]  5.25E-13      0.000     3396.49     Wang et al. (2016)/Twarowski (1995)
163  [ HO2 + PO -> O + HOPO              ]  5.25E-13      0.000     0.0          Wang et al. (2016)/Twarowski (1995)
#165  [ HO2 + PO -> OH + PO2              ]  5.25E-13      0.000     908.06     Wang et al. (2016)/Twarowski (1995)
165  [ HO2 + PO -> OH + PO2              ]  3.49E-12       0.000     -251.61    Jayaweera+05
#167  [ HO2 + PO2 -> O2 + HOPO            ]  5.25E-13      0.000     315.11     Wang et al. (2016)/Twarowski (1995)
167  [ O2 + HOPO -> HO2 + PO2            ]  1.16E-11      0.000     22795.84     Jayaweera+05
169  [ HO2 + PO2 -> O + HOPO2            ]  5.25E-13      0.000     0.0         Wang et al. (2016)/Twarowski (1995)
#171  [ HO2 + PO2 -> OH + PO3             ]  5.25E-13      0.000     0.0         Wang et al. (2016)/Twarowski (1995)
171  [ HO2 + PO2 -> OH + PO3             ]  8.30E-13       0.000     0.0         Jayaweera+05
#173  [ HO2 + HOPO -> OH + HOPO2          ]  5.25E-13      0.000     1860.61     Wang et al. (2016)/Twarowski (1995)
173  [ HO2 + HOPO -> OH + HOPO2          ]  2.49E-10      0.000     11875.98    Jayaweera+05
175  [ HO2 + HOPO -> H2O2 + PO2         ]   4.15E-12      0.000     11725.02    Jayaweera+05
177  [ HO2 + HOPO2 -> H2O2 + PO3         ]  4.15E-12      0.000     12379.20    Jayaweera+05
#175  [ HO2 + PO3 -> O2 + HOPO2           ]  5.25E-13      0.000     0.0         Wang et al. (2016)/Twarowski (1995)
179  [ O2 + HOPO2 -> HO2 + PO3           ]  1.16E-11      0.000     33212.49    Jayaweera+05
181  [ HO2 + HPO -> O2 + HPOH            ]  5.25E-13      0.000     5135.63     Wang et al. (2016)/Twarowski (1995)
183  [ HO2 + P -> O2 + PH                ]  5.25E-11      0.000     3420.55     Wang et al. (2016)/Twarowski (1995)
185  [ HO2 + P -> OH + PO                ]  5.25E-11      0.000     922.49     Wang et al. (2016)/Twarowski (1995)
187  [ HO2 + P2 -> OH + P2O              ]  5.25E-13      0.000     2549.77     Wang et al. (2016)/Twarowski (1995)
189  [ HO2 + PH2 -> O2 + PH3             ]  5.25E-13      0.000     2639.98     Wang et al. (2016)/Twarowski (1995)
191  [ HO2 + PH2 -> O + H2POH            ]  5.25E-13      0.000     0.0     Wang et al. (2016)/Twarowski (1995)
193  [ HO2 + PH -> O2 + PH2              ]  5.25E-13      0.000     2629.15     Wang et al. (2016)/Twarowski (1995)
195  [ HO2 + PH -> O + HPOH              ]  5.25E-13      0.000     0.0     Wang et al. (2016)/Twarowski (1995)
197  [ HO2 + PH -> OH + HPO              ]  5.25E-13      0.000     796.20     Wang et al. (2016)/Twarowski (1995)
199  [ HO2 + P2O -> OH + P2O2            ]  5.25E-13      0.000     2265.93     Wang et al. (2016)/Twarowski (1995)
201  [ HO2 + HPOH -> O2 + H2POH          ]  5.25E-13      0.000     2658.02     Wang et al. (2016)/Twarowski (1995)
203  [ PO + HOPO2 -> PO2 + HOPO          ]  5.25E-13      0.000     4895.08     Wang et al. (2016)/Twarowski (1995)
#237  [ PO + PO3 -> PO2 + PO2             ]  5.25E-13      0.000     0.0     Wang et al. (2016)/Twarowski (1995)
205  [ PO + PO3 -> PO2 + PO2             ] 8.30E-13      0.000     0.0         Jayaweera+05
207  [ PO + P2O -> PO2 + P2              ]  5.25E-13      0.000     2050.64     Wang et al. (2016)/Twarowski (1995)
209  [ PO + P2O2 -> PO2 + P2O            ]  5.25E-13      0.000     3612.98     Wang et al. (2016)/Twarowski (1995)
211  [ PO + H2POH -> HOPO + PH2          ]  5.25E-13      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
213  [ PO + HPOH -> HOPO + PH            ]  5.25E-13      0.000     0.0     Wang et al. (2016)/Twarowski (1995)
215  [ PO + HPOH -> HPO + HPO            ]  5.25E-13      0.000     5082.71     Wang et al. (2016)/Twarowski (1995)
#217  [ PO2 + O3 -> PO3 + O2              ]  3.72E-11      0.000     1131.00     Plane_et_al.(2021)
217  [ PO2 + HPO -> H + P2O3             ]  5.25E-13      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
#251  [ PO2 + HPO -> PO + HOPO            ]  5.25E-13      0.000     0.0     Wang et al. (2016)/Twarowski (1995)
219  [ PO2 + HPO -> PO + HOPO            ]  3.321E-13      0.000     0.0       Jayaweera+05
221  [ PO2 + P -> PO + PO                ]  5.25E-11      0.000     2472.80     Wang et al. (2016)/Twarowski (1995)
223  [ PO2 + PH3 -> HOPO + PH2           ]  5.25E-13      0.000     0.0     Wang et al. (2016)/Twarowski (1995)
225  [ PO2 + PH2 -> HOPO + PH            ]  5.25E-13      0.000     0.0     Wang et al. (2016)/Twarowski (1995)
227  [ PO2 + PH -> PO + HPO              ]  5.25E-13      0.000     2418.68     Wang et al. (2016)/Twarowski (1995)
229  [ PO2 + PH -> HOPO + P              ]  5.25E-13      0.000     36.08     Wang et al. (2016)/Twarowski (1995)
231  [ PO2 + P2O -> PO3 + P2             ]  5.25E-13      0.000     309.10     Wang et al. (2016)/Twarowski (1995)
233  [ PO2 + P2O -> P2O3 + P             ]  5.25E-13      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
235  [ PO2 + P2O2 -> PO + P2O3           ]  5.25E-13      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
237  [ PO2 + H2POH -> HOPO + HPOH        ]  5.25E-13      0.000     0.0     Wang et al. (2016)/Twarowski (1995)
239  [ PO2 + H2POH -> HOPO2 + PH2        ]  5.25E-13      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
241  [ PO2 + HPOH -> HOPO + HPO          ]  5.25E-13      0.000     894.83     Wang et al. (2016)/Twarowski (1995)
243  [ PO2 + HPOH -> HOPO2 + PH          ]  5.25E-13      0.000     0.0     Wang et al. (2016)/Twarowski (1995)
#277  [ HOPO + PO3 -> PO2 + HOPO2         ]  5.25E-13      0.000     730.05     Wang et al. (2016)/Twarowski (1995) (Desc.)
245  [ HOPO + PO3 -> PO2 + HOPO2         ]  8.300E-13      0.620      0.00     Jayaweera+05 (Desc.)
247  [ HOPO + P2O -> HOPO2 + P2          ]  5.25E-13      0.000     18040.85     Wang et al. (2016)/Twarowski (1995)
249  [ HOPO + P2O2 -> HOPO2 + P2O        ]  5.25E-13      0.000     18040.85     Wang et al. (2016)/Twarowski (1995)
251  [ HOPO2 + P -> PO + HOPO            ]  5.25E-11      0.000     3445.80     Wang et al. (2016)/Twarowski (1995)
253  [ HOPO2 + PH -> HOPO + HPO          ]  5.25E-13      0.000     3502.33     Wang et al. (2016)/Twarowski (1995)
#287  [ PO3 + HPO -> PO + HOPO2           ]  5.25E-13      0.000     0.0     Wang et al. (2016)/Twarowski (1995)
255  [ PO3 + HPO -> PO + HOPO2           ]  3.321E-13      0.000     0.0       Jayaweera+05
257  [ PO3 + P -> PO + PO2               ]  5.25E-11      0.000     18.04     Wang et al. (2016)/Twarowski (1995)
259  [ PO3 + PH3 -> HOPO2 + PH2          ]  5.25E-13      0.000     0.0     Wang et al. (2016)/Twarowski (1995)
261  [ PO3 + PH2 -> HOPO2 + PH           ]  5.25E-13      0.000     0.0     Wang et al. (2016)/Twarowski (1995)
263  [ PO3 + PH -> PO2 + HPO             ]  5.25E-13      0.000     0.0     Wang et al. (2016)/Twarowski (1995)
265  [ PO3 + PH -> HOPO2 + P             ]  5.25E-13      0.000     0.0     Wang et al. (2016)/Twarowski (1995)
267  [ PO3 + P2O -> PO2 + P2O2           ]  5.25E-13      0.000     917.68     Wang et al. (2016)/Twarowski (1995)
269  [ PO3 + H2POH -> HOPO2 + HPOH       ]  5.25E-13      0.000     0.0     Wang et al. (2016)/Twarowski (1995)
271  [ PO3 + HPOH -> HOPO2 + HPO         ]  5.25E-13      0.000     0.0     Wang et al. (2016)/Twarowski (1995)
273  [ HPO + P -> PO + PH                ]  5.25E-11      0.000     3474.67     Wang et al. (2016)/Twarowski (1995)
275  [ HPO + PH2 -> PO + PH3             ]  5.25E-13      0.000     2466.79     Wang et al. (2016)/Twarowski (1995)
277  [ HPO + PH -> PO + PH2              ]  5.25E-13      0.000     2475.21     Wang et al. (2016)/Twarowski (1995)
279  [ HPO + HPOH -> PO + H2POH          ]  5.25E-13      0.000     2489.64     Wang et al. (2016)/Twarowski (1995)
#313  [ P + PH -> H + P2                  ]  5.25E-11      0.000     2013.36     Wang et al. (2016)/Twarowski (1995) (Disc.)
281  [ P + PH -> H + P2                  ]  3.660E-11    0.198     -1.166         Klippenstein calculation          (Disc.)
283  [ P + P2O -> PO + P2                ]  5.25E-11      0.000     1467.32     Wang et al. (2016)/Twarowski (1995)
285  [ P + P2O2 -> PO + P2O              ]  5.25E-11      0.000     2815.58     Wang et al. (2016)/Twarowski (1995)
287  [ P + HPOH -> HPO + PH              ]  5.25E-11      0.000     4874.64     Wang et al. (2016)/Twarowski (1995)
289  [ PH3 + PH -> PH2 + PH2             ]  5.25E-13      0.000     2759.05     Wang et al. (2016)/Twarowski (1995)
291  [ PH3 + HPOH -> PH2 + H2POH         ]  5.25E-13      0.000     2830.01     Wang et al. (2016)/Twarowski (1995)
#325  [ PH2 + PH -> P + PH3              ]  5.25E-13      0.000     3442.19     Wang et al. (2016)/Twarowski (1995)  (Disc.)
293  [ PH2 + PH -> P + PH3               ]   2.510E-21    2.9224     -240.52      Klippenstein calculation          (Disc.)
295  [ PH2 + HPOH -> HPO + PH3           ]  5.25E-13      0.000     3825.86     Wang et al. (2016)/Twarowski (1995)
297  [ PH + PH -> P + PH2                ]  5.25E-13      0.000     3317.11     Wang et al. (2016)/Twarowski (1995)
#295  [ PH + PH -> P2H + H               ]  1.000E-10     0.000     1000.00      No_ref.(Visscher&Moses): Est. based on 2NH = N2H + H
299  [ PH + P2O -> HPO + P2              ]  5.25E-13      0.000     1721.10     Wang et al. (2016)/Twarowski (1995)
301  [ PH + P2O2 -> HPO + P2O            ]  5.25E-13      0.000     2804.75     Wang et al. (2016)/Twarowski (1995)
303  [ PH + H2POH -> PH2 + HPOH          ]  5.25E-13      0.000     2731.39     Wang et al. (2016)/Twarowski (1995)
305  [ PH + HPOH -> HPO + PH2            ]  5.25E-13      0.000     3675.52     Wang et al. (2016)/Twarowski (1995)
307  [ PH + HPOH -> P + H2POH            ]  5.25E-13      0.000     3479.48     Wang et al. (2016)/Twarowski (1995)
309  [ P2O + P2O -> P2 + P2O2            ]  5.25E-13      0.000     18040.85     Wang et al. (2016)/Twarowski (1995)
311  [ HPOH + HPOH -> HPO + H2POH        ]  5.25E-13      0.000     3858.34     Wang et al. (2016)/Twarowski (1995)
#315  [ P2O4 + H2O -> HOPO + HOPO2        ]  1.66E-13      0.000     0.00        Jayaweera+05
#317  [ P2O5 + H2O -> HOPO2 + HOPO2       ]  1.66E-13      0.000     0.00        Jayaweera+05
#300  [ H + HPO2 -> H2 + PO2              ]  3.99E-16      1.50     2516.10      Jayaweera+05;Glaude+00
#319  [ H + HPO2 -> H2 + PO2              ]  5.42E-11      0.0       1548.00     Plane_et_al.(2021)
#321  [ O + HPO2 -> OH + PO2              ]  2.82E-16      1.50     1258.05      Jayaweera+05;Glaude+00
#323  [ O2 + HPO2 -> HO2 + PO2            ]  1.16E-11      0.00     17310.75     Jayaweera+05;Glaude+00
#325  [ OH + HPO2 -> H2O + PO2            ]  1.99E-18      2.00     -1006.44     Jayaweera+05;Glaude+00
#327  [ OH + HPO2 -> H + HOPO2           ]  1.66E-12      0.00     1006.44      Jayaweera+05;Glaude+00
#327  [ OH + HPO2 ->  H + HOPO2           ]  8.32E-11      0.010     0.0        Plane_et_al.(2021)
#329  [ OH + HPO2 -> OH + HOPO            ]  1.13E-12     0.363      0.0        Plane_et_al.(2021)
#329  [ HO2 + HPO2 -> H2O2 + PO2          ]  3.32E-13      0.00     5032.20      Jayaweera+05;Glaude+00
#331  [ HPO + PO2 -> HPO2 + PO            ]  1.66E-13      0.00      0.00        Jayaweera+05;Glaude+00
#333  [ HPO2 + PO2 -> HOPO + PO2          ]  8.30E-13      0.00      0.00        Jayaweera+05;Glaude+00
#335  [ HPO2 + PO3 -> HOPO2 + PO2         ]  8.30E-13      0.00      0.00        Jayaweera+05;Glaude+00
313  [ H3PO4 -> HOPO2 + H2O               ]  88103.511	  2.12       19604.37 2021LIZ/SIR719-727 500-2000 (change units)
315  [ He -> He                          ]  0.00E+00      0.000     0.00

# 3-body and Disscoiation Reactions
# id	# Reactions                         	A_0     	B_0     	C_0     	A_inf   	B_inf   	C_inf		Ref 		  	Temp

317  [ H + H + M -> H2 + M                ]  2.70E-31    -0.600       0.0      3.31E-06    -1.000       0.0                             100-5000, ??
319  [ H + O + M -> OH + M                ]  1.30E-29    -1.000       0.0      1.00E-11     0.000       0.0                             300-2500, ??
321  [ OH + H + M -> H2O + M              ]  3.89E-25    -2.000       0.0      4.26E-11     0.230     -57.5                             300-3000, 300-3000
323  [ H + O2 + M -> HO2 + M              ]  2.17E-29    -1.100       0.0      7.51E-11     0.0          0.0        2012TUR/NAG284-302 / 1997ATK/BAU1329-1499                   300-1850, 200-400
325  [ HO2 + HO2 + M -> H2O2 + O2 + M     ]  1.90E-33     0.       -980.0      2.20E-13     0.       -600.        1997ATK/BAU1329-1499 / 2004ATK/BAU1461-1738                 200-300, 230-420
327  [ OH + OH + M -> H2O2 + M            ]  7.97E-31    -0.760       0.0      1.51E-11    -0.370       0.0       1992BAU/COB411-429 / 1992BAU/COB411-429                        250-1400 /200-1400
#363  [ PH3 + M -> PH2 + H + M             ]  3.40E-08     0.0        35644.0  1.91E+18     0.0         40063.0   Paul Rimmer  (Estimate from Cardelino et al. 2003 data)
#327  [ PH3 + M -> PH2 + H + M             ]   5.2E+16    -6.2         11787.41  4.08E+13    0.81       44141.77     Baptista&Almeida(2023)
