# VULCAN N-C-H-O network for reducing atmospheres
#########################################################################################################################################################
# log history
# 7.2024 update CH2OH+M=H+H2CO+M and CH3O+M=H+H2CO+M (See Appendix B in Tsai+2024b)
# 2024: remove H2S + M -> S + H2 + M, which overest. the recombination rate   
# 2023
# Compared to SNCHO_photo_network, the rate consts of H + SH + M -> H2S + M and H + CS + M -> HCS + M  are updated, and H2S + M -> S + H2 + M is added
##########################################################################################################################################################
# 4.2022 changed the rate of S + S4 -> S2 + S3
# 1.2021 added CH3SH and CH3S back
# 11.2020 added S2O (no Gibbs data of (SO)2)
# 10.2020 removed CH3S 
# replaced several high-barrier reactions with the reverses (exothermic) and removed some insensitive ones
# 10.2020 included C6H6 pathways with C4H3 and C4H5
# 10.2020 replaced H2O + H with OH + H2 (faster for water recycling at T < 250K)
# 10.2020 added HSO3 and HSO4 and SO3 forming reactions (then removed)
# 8.2020 added CH3SH and found not sensitive
# 8.2020 Check the reverse reaction of disscoiation reactions
# 8.2020 updated from NCHO -- adding HO2,H2O2,H3CN,C2H3CN
# 8.2020 removed CN + M -> C + N + M and CN + C2H2 -> C2H + HCN  and CN + C2H4 -> C2H3 + HCN
# Replace 565	[ SH + SH -> H2 + S2                 ]  1.00E-13     0.000       0.0       Jim with Zahnle's
# Replace 775	[ S + S2 + M -> S3 + M               ]  1.65E-33     0.000    -143.6     1.38E-14     0.000     -450.2       Du_et_al.2011	 
# removed H2S2 (no NASA9)
# 617	[ HS2 + H2 -> H2S2 + H               ]  1.00E-11     0.000   14500.0       Jim
# 621	[ HS2 + H2S -> H2S2 + SH             ]  1.00E-11     0.000    7800.0       Jim
# 609	[ SH + H2S -> H2S2 + H               ]  1.00E-11     0.000   13700.0       Jim
# 611	[ SH + H2S2 -> H2S + HS2             ]  1.00E-11     0.000       0.0       Jim
# 615	[ H2S2 + OH -> H2O + HS2             ]  1.00E-10     0.000       0.0       Jim
# 763	[ SH + SH + M -> H2S2 + M            ]   2.40E-29   -0.76       0.0         2006CER/KRO437-455       	
# 9.2019 updated and added a few CH2_1 and O_1 reactions; removing CH3NH (only CH2NH, CH2NH2, CH3NH2 are important (Tsai2018))
# v813: Add CH3HN2, CH3HN, CH2NH2, and CH2NH; v814 reduced from v813 and reromved a few reactions involving CH2NH
# v827: removed N_D (N2D) because I don't have its nasa9 gibbs energy (only nasa7 in venot's thesis)
# v925: removed O + C2H3 -> HCO + CH2 and O + C2H4 -> H2CO + CH2; corrected a typo in NH + NO -> N2O + H
# v518: added NH2 + NH3 -> N2H3 + H2; NH2 + NH2 + M -> N2H4 + M; NH3 -> NH + H + H (2nd branch)
# v618: added  CH + H2O -> H2CO + H; OH photo; CH3CHO; add HCCO + H2 -> H2CCO + H and OH + C2H2 -> H2CCO + H
# v018: added HNO (HNO <-> NOx) and HNO2
# v118: added the photodisociation of NO and NO2
# v218: added more HNO <-> NOx reactions (so far v118 is the best)
# v0718: Higher rate of CH + CH2 from Moses; updated C + C + M -> C2 + M and reverse NH + M -> N + H 
##########################################################################################################################################################
# In Temp, KIDA means the values are close to those on KIDA
# in the form of k = A T^B exp(-C/T)
# Two-body Reactions
# id	Reactions                           	A       	B       	C      Ref 			             Temp  

1    [ OH + H2 -> H2O + H                 ]  3.57E-16     1.520    1740.0      1992OLD/LOG8426-8430      250-2580
75   [ C2 + CH4 -> CH3 + C2H              ]  5.05E-11     0.000     297.0                             ??
77   [ C2H + CH2 -> CH + C2H2             ]  3.01E-11     0.000       0.0                       300-2500
79   [ C2H + C2H6 -> C2H2 + C2H5          ]  5.99E-12     0.000       0.0                       300-2500
81   [ C2H + O -> CH + CO                 ]  1.69E-11     0.000       0.0                       300-2500
83   [ C2H + OH -> C2H2 + O               ]  3.01E-11     0.000       0.0                       300-2500
85   [ C2H + H2O -> C2H2 + OH             ]  2.20E-21     3.050     376.0                       300-2000
87   [ C2H3 + C2H3 -> C2H4 + C2H2         ]  1.60E-12     0.000       0.0                       300-2500
89   [ C2H3 + C2H5 -> C2H4 + C2H4         ]  8.00E-13     0.000       0.0                             ??
91   [ C2H3 + C2H5 -> C2H6 + C2H2         ]  8.00E-13     0.000       0.0                             ??
93   [ C2H4 + OH -> C2H3 + H2O            ]  2.60E-20     2.750    2100.0                       300-2500
95   [ C2H5 + C2H5 -> C2H4 + C2H6         ]  2.31E-12     0.000       0.0                       300-2500
97   [ C2H5 + C2H4 -> C2H3 + C2H6         ]  1.05E-21     3.130    9060.0                       300-2500
99   [ C2H6 + OH -> C2H5 + H2O            ]  1.47E-14     1.040     913.0                       300-2500
101  [ CH + O -> OH + C                   ]  2.52E-11     0.000    2381.0                        10-6000
103  [ O + CH -> H + CO                   ]  6.59E-11     0.000       0.0                       300-2000
105  [ O + CH3 -> CH2 + OH                ]  1.00E-11     0.000    3970.0                             ??
107  [ CH3 + OH -> O + CH4                ]  1.16E-19     2.200    2240.0                       298-2500
109  [ O + C2H6 -> OH + C2H5              ]  2.00E-12     0.600    3680.0                       300-2500
111  [ OH + C -> CO + H                   ]  1.05E-12     0.500       0.0                             ??
113  [ OH + CH2 -> H2O + CH               ]  1.43E-18     2.020    3410.0                       300-2500
115  [ OH + CH4 -> H2O + CH3              ]  1.68E-18     2.180    1231.0                       195-2025
117  [ OH + C2H3 -> H2O + C2H2            ]  5.00E-11     0.000       0.0                       300-2500
119  [ OH + C2H5 -> H2O + C2H4            ]  4.00E-11     0.000       0.0                       300-2500
121  [ CH2OH + H -> OH + CH3              ]  1.60E-10     0.000       0.0                       300-2500
123  [ H2CO + H -> HCO + H2               ]  3.64E-16     1.770    1510.0                       300-2500
125  [ O + C2H4 -> HCO + CH3              ]  2.19E-16     1.550     215.0                       300-2500
127  [ H2CO + CH3 -> CH4 + HCO            ]  9.20E-21     2.810    2950.0                       300-2500
129  [ CH3 + CH2OH -> H2CO + CH4          ]  4.00E-12     0.000       0.0                       300-2500
131  [ HCO + H -> CO + H2                 ]  1.50E-10     0.000       0.0                       300-2500
133  [ HCO + OH -> CO + H2O               ]  1.69E-10     0.000       0.0                       300-2500
135  [ CO2 + CH -> HCO + CO               ]  5.71E-12     0.000     345.1                       300-1000
137  [ CH3 + O -> H2CO + H                ]  1.40E-10     0.000       0.0                       300-2500
139  [ CH3O + O -> H2CO + OH              ]  1.00E-11     0.000       0.0                       300-2500
141  [ CH3O + OH -> H2CO + H2O            ]  3.01E-11     0.000       0.0                       300-2500
143  [ CH3OH + H -> CH3O + H2             ]  6.82E-20     2.685    4643.0                             ??
145  [ CH3OH + H -> CH3 + H2O             ]  4.91E-19     2.485   10380.0                             ??
147  [ CH2 + O -> CO + H + H              ]  1.33E-10     0.000       0.0                       2100-2500
149  [ CH2 + OH -> H2CO + H               ]  3.01E-11     0.000       0.0                       300-2500
151  [ CO2 + CH2 -> H2CO + CO             ]  3.90E-14     0.000       0.0                       300-2500
153  [ CH3O + CO -> CH3 + CO2             ]  2.61E-11     0.000    5940.0                       300-2500
155  [ CH3OH + H -> CH2OH + H2            ]  1.09E-19     2.728    2240.0                             ??
157  [ HCO + C2H -> C2H2 + CO             ]  1.00E-10     0.000       0.0                       300-2500
159  [ CH2OH + C2H -> H2CO + C2H2         ]  5.99E-11     0.000       0.0                       300-2500
161  [ CH3O + C2H -> H2CO + C2H2          ]  4.00E-11     0.000       0.0                       300-2500
163  [ CH3OH + C2H -> CH2OH + C2H2        ]  1.00E-11     0.000       0.0                       300-2500
165  [ CH3OH + C2H -> CH3O + C2H2         ]  2.01E-12     0.000       0.0                       300-2500
167  [ O + C2H3 -> C2H2 + OH              ]  1.76E-12     0.200    -215.2                       200-2500
169  [ CH + C2H4 -> C2H2 + CH3            ]  2.23E-10     0.000    -173.0                        200-700
171  [ CH2 + C2H3 -> C2H2 + CH3           ]  3.00E-11     0.000       0.0                       300-2500
173  [ O + CH2 -> CO + H2                 ]  9.96E-11     0.000       0.0                       2150-2600
175  [ HCO + CH2 -> CO + CH3              ]  3.01E-11     0.000       0.0                       300-2500
177  [ CH2OH + CH2 -> OH + C2H4           ]  4.00E-11     0.000       0.0                       300-2500
179  [ CH2OH + CH2 -> H2CO + CH3          ]  2.01E-12     0.000       0.0                       300-2500
181  [ CH3O + CH2 -> H2CO + CH3           ]  3.00E-11     0.000       0.0                       300-2500
183  [ CH3OH + CH2 -> CH3O + CH3          ]  2.39E-23     3.100    3490.0                       300-2500
185  [ CH3OH + CH2 -> CH2OH + CH3         ]  5.29E-23     3.200    3609.0                       300-2500
187  [ HCO + CH3 -> CO + CH4              ]  2.01E-10     0.000       0.0                       300-2500
189  [ CH3O + CH3 -> H2CO + CH4           ]  4.00E-11     0.000       0.0                       300-2500
191  [ CH3OH + CH3 -> CH3O + CH4          ]  2.39E-23     3.100    3490.0                       300-2500
193  [ CH3CO + H -> HCO + CH3             ]  3.32E-11     0.000       0.0                            300
195  [ CH3CO + CH3 -> CO + C2H6           ]  4.90E-11     0.000       0.0                             ??
197  [ O + OH -> O2 + H                   ]  7.47E-10    -0.500      30.0                       200-2500
199  [ H + CH3O -> H2CO + H2              ]  3.30E-11     0.000       0.0                       300-2500
201  [ H + H2CCO -> CO + CH3              ]  1.29E-15     1.450    1399.0                       200-2500
203  [ O + C2H3 -> H2CCO + H              ]  1.60E-10     0.000       0.0                       300-2500
205  [ C2H2 + O -> HCCO + H               ]  1.50E-11     0.000    2280.0                       300-2500
207  [ HCCO + H -> CO + CH2               ]  2.49E-10     0.000       0.0                       300-2500
209  [ O + H2CO -> HCO + OH               ]  6.85E-13     0.570    1390.0                       250-2200
211  [ HCO + HCO -> H2CO + CO             ]  3.01E-11     0.000       0.0                       300-2500
213  [ CH2OH + CH3O -> H2CO + CH3OH       ]  4.00E-11     0.000       0.0                       300-2500
215  [ CH3O + CH3O -> H2CO + CH3OH        ]  1.00E-10     0.000       0.0                       300-2500
217  [ N + CH -> NH + C                   ]  7.44E-13     0.650    1210.0                       990-1010
219  [ N + CH -> CN + H                   ]  2.77E-10    -0.090       0.0                        216-584
221  [ N + CH2 -> NH + CH                 ]  1.05E-12     0.500   10000.0                      1000-4000
223  [ N + CH2 -> HCN + H                 ]  4.30E-10     0.000     420.0                       Estimate
225  [ N + C2 -> CN + C                   ]  2.90E-12     0.500       0.0                       Estimate
227  [ N + OH -> NO + H                   ]  4.70E-11     0.          0.0  1994BAU/COB847-1033  300-2500
229  [ H + NH -> H2 + N                   ]  1.69E-11     0.000       0.0                       1500-2500
231  [ H + NH2 -> H2 + NH                 ]  1.05E-10     0.000    4450.0                       1100-1800
233  [ H2 + CN -> H + HCN                 ]  5.99E-16     1.550    1510.0                       500-2500
235  [ CH2 + CN -> CH + HCN               ]  5.31E-12     0.000    2500.0    KIDA                10-800
237  [ CH3 + NH -> CH4 + N                ]  1.00E-13     0.000       0.0    Estimate(Moses)
239  [ CH3 + NH2 -> CH4 + NH              ]  4.65E-18     1.940    4635.0                            not
241  [ CH3 + CN -> CH2 + HCN              ]  1.66E-13     0.700    1500.0                             ??
243  [ CH4 + CN -> HCN + CH3              ]  1.50E-19     2.640    -150.0                       290-1500
245  [ C2 + N2 -> CN + CN                 ]  2.49E-11     0.000   21000.0                       2900-3420
247  [ NH2 + C2H -> NH + C2H2             ]  4.00E-11     0.000       0.0                             ??
249  [ NH2 + C2H3 -> NH3 + C2H2           ]  5.00E-11     0.000       0.0                             ??
251  [ NH2 + C2H4 -> NH3 + C2H3           ]  8.80E-12     0.000    5170.0                       1640-1940
253  [ NH2 + C2H5 -> NH3 + C2H4           ]  3.15E-11     0.000       0.0                             ??
255  [ NH2 + C2H6 -> NH3 + C2H5           ]  1.61E-11     0.000    5770.0                       1500-2100
257  [ O + NH -> OH + N                   ]  1.16E-11     0.000       0.0                       250-3000
259  [ O + NH -> NO + H                   ]  1.16E-10     0.000       0.0                       250-3000
261  [ O + NH3 -> OH + NH2                ]  1.60E-11     0.000    3670.0                       500-2500
263  [ OH + NH -> H2O + N                 ]  3.32E-15     1.200       0.0                       298-3000
265  [ OH + CN -> O + HCN                 ]  1.00E-11     0.000    1000.0                       500-2500
267  [ OH + HCN -> H2O + CN               ]  6.47E-18     1.830    5180.0                       500-2000
269  [ OH + HCN -> NH2 + CO               ]  1.07E-13     0.000    5890.0                       500-2500
271  [ OH + NH -> O + NH2                 ]  1.66E-12     0.100    5800.0                       298-3000
273  [ NH2 + OH -> H2O + NH               ]  1.49E-16     1.500    -230.0  1991COH/WES1211-1311 250-3000
275  [ CN + O -> N + CO                   ]  3.40E-11     0.000     210.0                       500-2500
277  [ N + CO2 -> CO + NO                 ]  3.20E-13     0.000    1710.0                        291-523
279  [ N + NO -> N2 + O                   ]  3.70E-11     0.000       0.0                       1250-3150
281  [ N + NH -> N2 + H                   ]  1.07E-12     0.510       9.3                       300-2.50E4
283  [ N + CN -> N2 + C                   ]  3.01E-10     0.000       0.0                       300-2500
285  [ N2 + CH2 -> NH + HCN               ]  1.66E-11     0.000   37237.0   Moses               high T?
287  [ NO + C -> O + CN                   ]  3.45E-10    -0.320       0.0                       200-5000
289  [ NO + CH -> O + HCN                 ]  1.66E-10     0.000       0.0                       2570-3790
291  [ NO + CH -> CO + NH                 ]  2.00E-10     0.000       0.0                            289
293  [ NO + CH3 -> HCN + H2O              ]  4.00E-12     0.000    7900.0                       1300-2080
295  [ NO + NH -> N2 + OH                 ]  1.01E-10    -0.500      60.0                       300-4000
297  [ NO + NH2 -> N2 + H2O               ]  7.90E-09    -1.100      98.0                       300-2000
299  [ NO + CN -> N2 + CO                 ]  1.60E-13     0.000       0.0                            300
301  [ NH + C -> H + CN                   ]  1.05E-12     0.500       0.0                             ??
303  [ NH + NH -> N2 + H2                 ]  8.52E-11     0.000       0.0      KIDA           Estimation 
305  [ NH2 + H2 -> NH3 + H                ]  2.49E-20     2.600    3007.0                       400-2200
307  [ NH2 + CH4 -> CH3 + NH3             ]  7.80E-12     0.000    4680.0                       300-2000
309  [ NH2 + O -> H2 + NO                 ]  8.30E-12     0.000       0.0                       298-3000
311  [ NH3 + OH -> NH2 + H2O              ]  7.49E-14     0.560     730.0  2018SAM/VAR679-683   300-2000
313  [ NH2 + NH2  -> NH3 + NH             ]  9.35E-24     3.530     278.0                       300-2500
315  [ NH3 + CH -> NH2 + CH2              ]  7.24E-11     0.000    -317.0                       300-1300
317  [ NH3 + CN -> HCN + NH2              ]  1.52E-11     0.000    -180.0                        294-761
319  [ CN + C2H6 -> C2H5 + HCN            ]  2.00E-19     2.770    -900.0                       292-1140
321  [ HCN + O -> CO + NH                 ]  9.01E-16     1.210    3820.0                       300-2400
323  [ NH + NH2 -> N2H2 + H               ]  6.98E-10    -0.270     -39.0   2009KLI/HAR10241-10259       200-2500
325  [ NH2 + N2H2 -> NH3 + N2H            ]  3.00E-18     1.940    -580.0                       300-2000
327  [ NH2 + N2H3 -> NH3 + N2H2           ]  1.53E-18     1.940    -580.0                       600-2500
329  [ N2H2 + H -> N2H + H2               ]  7.97E-16     1.500     795.0                       300-2000
331  [ N2H2 + CH3 -> N2H + CH4            ]  2.66E-18     1.870    1495.0                       300-2000
333  [ N2H2 + OH -> N2H + H2O             ]  4.00E-18     2.000    -600.0                       300-2000
335  [ N2H3 + H -> N2H2 + H2              ]  4.00E-16     1.500       0.0                       600-2500
337  [ N2H3 + O -> N2H2 + OH              ]  2.82E-16     1.500    -325.0                       600-2500
339  [ N2H3 + OH -> N2H2 + H2O            ]  2.00E-18     2.000    -600.0                       600-2500
341  [ N2H3 + N2H3 -> N2H4 + N2H2         ]  2.00E-11     0.000       0.0                             ??
343  [ N2H + H -> N2 + H2                 ]  4.00E-16     1.500    -450.0                       high T ?
345  [ N2H + OH -> N2 + H2O               ]  3.97E-02    -2.880    1230.0                       1000-2000
347  [ N2H + O -> N2 + OH                 ]  2.83E-08    -1.230     250.0                       1000-2000
349  [ N2H + NH2 -> N2 + NH3              ]  1.53E-18     1.940    -580.0                            not
351  [ NH2 + NO -> N2H + OH               ]  7.28E-14     0.290    -438.0                       400-1900
353  [ N2H + NO -> N2 + HNO               ]  1.99E-18     2.000    -600.0                            not
355  [ N2H2 + O -> N2H + OH               ]  5.50E-16     1.500     250.0                       300-2000
357  [ NH + N2H2 -> NH2 + N2H             ]  4.00E-18     2.000    -600.0                       300-2000
359  [ H2CN + OH -> HCN + H2O             ]  2.00E-18     2.000    -600.0      Dean
361  [ NO + CH2 -> HNCO + H               ]  5.15E-07    -1.380     640.0      Moses(Gri-mech)
363  [ HNCO + H -> CO + NH2               ]  5.96E-20     2.490    1180.0                       300-3300
365  [ HCN + OH -> HNCO + H               ]  9.30E-30     4.710    -248.0                       298-2840
367  [ CH3 + N -> H2CN + H                ]  1.01E-09    -0.310     145.0                            not
369  [ CH3 + N -> HCN + H2                ]  6.14E-12     0.150     -45.0                            not
371  [ CH3 + NH2 -> NH3 + CH2             ]  2.66E-18     1.870    3810.0                            not
373  [ N2H + O -> NH + NO                 ]  3.32E-10     0.000    2021.0                       1200-2500
375  [ NH2 + NH2 -> N2H2 + H2             ]  2.89E-16     1.020    5930.0                       500-2250
377  [ NO + CH3 -> H2CN + OH              ]  8.63E-12     0.000   12200.0                       1300-2080
379  [ N2H4 + H -> N2H3 + H2              ]  1.17E-11     0.000    1260.0                        222-657
381  [ O + CH3O -> O2 + CH3               ]  3.55E-11     0.000     239.0                       300-2300
383  [ O2 + C -> O + CO                   ]  1.99E-10     0.000    2010.0  			1991DEA/DAV183-1911500-4200
385  [ O2 + CH2 -> H2O + CO               ]  4.00E-13     0.000       0.0     			1986TSA/HAM1087300-2500
387  [ O2 + CH3 -> OH + H2CO              ]  5.50E-13     0.000    4500.0                       1000-2500
389  [ O2 + C2H -> CO + HCO               ]  4.00E-12     0.000       0.0                       300-2500
391  [ O2 + C2H3 -> H2CO + HCO            ]  9.00E-12     0.000       0.0                       300-2000
393  [ N + O2 -> NO + O                   ]  1.50E-14     1.000    3270.0                       298-5000
395  [ NH + O2 -> NO + OH                 ]  7.47E-16     0.790     601.0                       298-2200
397  [ NH + O2 -> HNO + O                 ]  6.71E-19     0.090    5370.0                       214-2500
399  [ O2 + NH2 -> HNO + OH               ]  2.51E-12    -0.390   18200.0  1989BOZ/DEA1058-1065 200-1900
401  [ NO2 + O -> NO + O2                 ]  6.51E-12     0.000    -120.0  			1991TSA/HER609-663 230-350
403  [ N2O + O -> N2 + O2                 ]  6.13E-12     0.000    8020.0                       1075-3340
405  [ N2O + H -> N2 + OH                 ]  1.60E-10     0.000    7600.0                       700-2500
407  [ NH + NO -> N2O + H                 ]  4.14E-08    -1.030     420.0                       300-4000
409  [ NH2 + NO2 -> N2O + H2O             ]  2.56E-08    -1.440     135.0                        300-910
411  [ HNO + HNO -> N2O + H2O             ]  1.40E-15     0.000    1560.0  			1991TSA/HER609-663 280-1000
413  [ NO2 + CH3 -> NO + CH3O             ]  2.26E-11     0.000       0.0 			2005SRI/SU1857-1863 233-1700
415  [ N2H4 + NH2 -> N2H3 + NH3           ]  8.00E-24     3.600     386.0                       220-3000
417  [ C2H + C2H2 -> C4H2 + H             ]  3.18E-11     0.240     -37.0                       200-2000
419  [ CH2NH2 + H -> CH2NH + H2           ]  6.64E-16     1.500    -450.0                            not
421  [ CH3NH2 + NH2 -> CH2NH2 + NH3       ]  4.65E-18     1.940    2765.0                            not
423  [ CH2NH2 + CH3 -> NH2 + C2H5         ]  3.32E-11     0.000    1360.0                            not
425  [ CH2NH2 + OH -> CH2OH + NH2         ]  6.64E-11     0.000       0.0                            not
427  [ CH3NH2 + H -> CH2NH2 + H2          ]  9.30E-16     1.500    2750.0                            not
429  [ CH2NH + H -> H2CN + H2             ]  4.00E-14     0.000       0.0                             ??
431  [ CH3 + NH2 -> CH2NH + H2            ]  7.97E-13    -0.200    9765.0                            not
433  [ CH3 + NH2 -> CH2NH2 + H            ]  2.32E-10    -0.430    5590.0                            not
435  [ CH3NH2 + CH3 -> CH2NH2 + CH4       ]  2.50E-18     1.870    4615.0                            not
437  [ N2H3 + H -> NH2 + NH2              ]  2.66E-12     0.          0.0       1971VON/HOY1287          298
439  [ CH + H2O -> H2CO + H               ]  2.94E-08     -1.22     -12.0       2009BER/MOI21-25         100-700
441  [ O + C2H5 -> CH3CHO + H             ]  1.33E-10     0.000       0.0       1986TSA/HAM1087          300-2500
443  [ NH + OH -> HNO + H                 ]  3.32E-11     0.000       0.0       1991COH/WES1211-1311     298-3000
445  [ HNO + OH -> NO + H2O               ]  8.00E-11     0.000     500.0       1991TSA/HER609-663       300-2000
447  [ HNO + O -> NO + OH                 ]  5.99E-11     0.000       0.0       1991TSA/HER609-663       300-2500 
449  [ HNO + H -> NO + H2                 ]  3.01E-11     0.000     500.0       1991TSA/HER609-663       298-2500 
451  [ NO + CH3O -> HNO + H2CO            ]  1.33E-12     0.000       0.0       1988ZAS/MUK244           850-1200
453  [ NO + HCO -> HNO + CO               ]  1.20E-11     0.000       0.0       1991TSA/HER609-663       295-2500
455  [ HNO2 + OH -> NO2 + H2O             ]  2.09E-14     1.000      68.0       1991TSA/HER609-663       300-2500
457  [ HNO2 + H -> HNO + OH               ]  9.39E-14     0.860    2500.0       1997HSU/LIN60-66         300-3500
