# Branching ratios for SO2 -> (1)SO + O  (2)S+ O2  from PhiDRates
# lambda , br_ratio_1, br_ratio_2
2.075e+02,    1.000,    0.000
2.076e+02,    1.000,    0.000
2.077e+02,    1.000,    0.000
2.078e+02,    1.000,    0.000
2.079e+02,    1.000,    0.000
2.080e+02,    1.000,    0.000
2.081e+02,    1.000,    0.000
2.082e+02,    1.000,    0.000
2.083e+02,    1.000,    0.000
2.084e+02,    1.000,    0.000
2.085e+02,    1.000,    0.000
2.086e+02,    1.000,    0.000
2.087e+02,    1.000,    0.000
2.088e+02,    1.000,    0.000
2.089e+02,    1.000,    0.000
2.090e+02,    1.000,    0.000
2.091e+02,    1.000,    0.000
2.092e+02,    1.000,    0.000
2.093e+02,    1.000,    0.000
2.094e+02,    1.000,    0.000
2.095e+02,    1.000,    0.000
2.096e+02,    1.000,    0.000
2.097e+02,    1.000,    0.000
2.098e+02,    1.000,    0.000
2.099e+02,    1.000,    0.000
2.100e+02,    1.000,    0.000
2.101e+02,    1.000,    0.000
2.102e+02,    1.000,    0.000
2.103e+02,    1.000,    0.000
2.104e+02,    1.000,    0.000
2.105e+02,    1.000,    0.000
2.106e+02,    1.000,    0.000
2.107e+02,    1.000,    0.000
2.108e+02,    1.000,    0.000
2.109e+02,    1.000,    0.000
2.110e+02,    1.000,    0.000
2.111e+02,    1.000,    0.000
2.112e+02,    1.000,    0.000
2.113e+02,    1.000,    0.000
2.114e+02,    1.000,    0.000
2.115e+02,    1.000,    0.000
2.116e+02,    1.000,    0.000
2.117e+02,    1.000,    0.000
2.118e+02,    1.000,    0.000
2.119e+02,    1.000,    0.000
2.120e+02,    1.000,    0.000
2.121e+02,    1.000,    0.000
2.122e+02,    1.000,    0.000
2.123e+02,    1.000,    0.000
2.124e+02,    1.000,    0.000
2.125e+02,    1.000,    0.000
2.126e+02,    1.000,    0.000
2.127e+02,    1.000,    0.000
2.128e+02,    1.000,    0.000
2.129e+02,    1.000,    0.000
2.130e+02,    1.000,    0.000
2.131e+02,    1.000,    0.000
2.132e+02,    1.000,    0.000
2.133e+02,    1.000,    0.000
2.134e+02,    1.000,    0.000
2.135e+02,    1.000,    0.000
2.136e+02,    1.000,    0.000
2.137e+02,    1.000,    0.000
2.138e+02,    1.000,    0.000
2.139e+02,    1.000,    0.000
2.140e+02,    1.000,    0.000
2.141e+02,    1.000,    0.000
2.142e+02,    1.000,    0.000
2.143e+02,    1.000,    0.000
2.144e+02,    1.000,    0.000
2.145e+02,    1.000,    0.000
2.146e+02,    1.000,    0.000
2.147e+02,    1.000,    0.000
2.148e+02,    1.000,    0.000
2.149e+02,    1.000,    0.000
2.150e+02,    1.000,    0.000
2.151e+02,    1.000,    0.000
2.152e+02,    1.000,    0.000
2.153e+02,    1.000,    0.000
2.154e+02,    1.000,    0.000
2.155e+02,    1.000,    0.000
2.156e+02,    1.000,    0.000
2.157e+02,    1.000,    0.000
2.158e+02,    1.000,    0.000
2.159e+02,    1.000,    0.000
2.160e+02,    1.000,    0.000
2.161e+02,    1.000,    0.000
2.162e+02,    1.000,    0.000
2.163e+02,    1.000,    0.000
2.164e+02,    1.000,    0.000
2.165e+02,    1.000,    0.000
2.166e+02,    1.000,    0.000
2.167e+02,    1.000,    0.000
2.168e+02,    1.000,    0.000
2.169e+02,    1.000,    0.000
2.170e+02,    1.000,    0.000
2.171e+02,    1.000,    0.000
2.172e+02,    1.000,    0.000
2.173e+02,    1.000,    0.000
2.174e+02,    1.000,    0.000
2.175e+02,    1.000,    0.000
2.176e+02,    1.000,    0.000
2.177e+02,    1.000,    0.000
2.178e+02,    1.000,    0.000
2.179e+02,    1.000,    0.000
