# Branching ratios for H2CO -> (1)H2 + CO   (2)H + HCO   # from PhiDrates (<250nm) and Sanders (>=250nm) (H + H + CO < 210 nm is combined into H2 + CO)
# lambda , br_ratio_1, br_ratio_2
9.350e+01,    1.000,    0.000
9.380e+01,    1.000,    0.000
9.440e+01,    1.000,    0.000
9.500e+01,    1.000,    0.000
9.560e+01,    1.000,    0.000
9.600e+01,    1.000,    0.000
9.650e+01,    1.000,    0.000
9.700e+01,    1.000,    0.000
9.720e+01,    1.000,    0.000
9.810e+01,    1.000,    0.000
9.900e+01,    1.000,    0.000
1.000e+02,    1.000,    0.000
1.043e+02,    1.000,    0.000
1.043e+02,    1.000,    0.000
1.100e+02,    1.000,    0.000
1.142e+02,    1.000,    0.000
1.150e+02,    1.000,    0.000
1.160e+02,    1.000,    0.000
1.164e+02,    1.000,    0.000
1.168e+02,    1.000,    0.000
1.172e+02,    1.000,    0.000
1.177e+02,    1.000,    0.000
1.181e+02,    1.000,    0.000
1.185e+02,    1.000,    0.000
1.189e+02,    1.000,    0.000
1.192e+02,    1.000,    0.000
1.205e+02,    1.000,    0.000
1.210e+02,    1.000,    0.000
1.215e+02,    1.000,    0.000
1.222e+02,    1.000,    0.000
1.226e+02,    1.000,    0.000
1.234e+02,    1.000,    0.000
1.237e+02,    1.000,    0.000
1.240e+02,    1.000,    0.000
1.256e+02,    1.000,    0.000
1.260e+02,    1.000,    0.000
1.266e+02,    1.000,    0.000
1.283e+02,    1.000,    0.000
1.288e+02,    1.000,    0.000
1.291e+02,    1.000,    0.000
1.293e+02,    1.000,    0.000
1.298e+02,    1.000,    0.000
1.302e+02,    1.000,    0.000
1.306e+02,    1.000,    0.000
1.321e+02,    1.000,    0.000
1.330e+02,    1.000,    0.000
1.339e+02,    1.000,    0.000
1.347e+02,    1.000,    0.000
1.350e+02,    1.000,    0.000
1.358e+02,    1.000,    0.000
1.370e+02,    1.000,    0.000
1.374e+02,    1.000,    0.000
1.377e+02,    1.000,    0.000
1.388e+02,    1.000,    0.000
1.394e+02,    1.000,    0.000
1.398e+02,    1.000,    0.000
1.400e+02,    1.000,    0.000
1.410e+02,    1.000,    0.000
1.450e+02,    1.000,    0.000
1.475e+02,    1.000,    0.000
1.490e+02,    1.000,    0.000
1.501e+02,    1.000,    0.000
1.506e+02,    1.000,    0.000
1.515e+02,    1.000,    0.000
1.520e+02,    1.000,    0.000
1.524e+02,    1.000,    0.000
1.528e+02,    1.000,    0.000
1.533e+02,    1.000,    0.000
1.550e+02,    1.000,    0.000
1.557e+02,    1.000,    0.000
1.560e+02,    1.000,    0.000
1.570e+02,    1.000,    0.000
1.660e+02,    1.000,    0.000
1.680e+02,    1.000,    0.000
1.700e+02,    1.000,    0.000
1.710e+02,    1.000,    0.000
1.724e+02,    1.000,    0.000
1.732e+02,    1.000,    0.000
1.740e+02,    1.000,    0.000
1.745e+02,    1.000,    0.000
1.750e+02,    1.000,    0.000
1.758e+02,    1.000,    0.000
1.760e+02,    1.000,    0.000
1.800e+02,    1.000,    0.000
1.850e+02,    1.000,    0.000
2.000e+02,    0.860,    0.140
2.100e+02,    0.717,    0.282
2.500e+02,    0.669,    0.331
2.510e+02,    0.680,    0.320
2.520e+02,    0.689,    0.311
2.530e+02,    0.695,    0.305
2.540e+02,    0.700,    0.300
2.550e+02,    0.704,    0.296
2.560e+02,    0.705,    0.295
2.570e+02,    0.705,    0.295
2.580e+02,    0.704,    0.296
2.590e+02,    0.701,    0.299
2.600e+02,    0.696,    0.304
2.610e+02,    0.691,    0.309
2.620e+02,    0.684,    0.316
2.630e+02,    0.676,    0.324
2.640e+02,    0.667,    0.333
2.650e+02,    0.657,    0.343
2.660e+02,    0.647,    0.353
2.670e+02,    0.635,    0.365
2.680e+02,    0.623,    0.377
2.690e+02,    0.610,    0.390
2.700e+02,    0.597,    0.403
2.710e+02,    0.583,    0.417
2.720e+02,    0.569,    0.431
2.730e+02,    0.554,    0.446
2.740e+02,    0.539,    0.461
2.750e+02,    0.524,    0.476
2.760e+02,    0.509,    0.491
2.770e+02,    0.494,    0.506
2.780e+02,    0.478,    0.522
2.790e+02,    0.463,    0.537
2.800e+02,    0.448,    0.552
2.810e+02,    0.433,    0.567
2.820e+02,    0.418,    0.582
2.830e+02,    0.403,    0.597
2.840e+02,    0.389,    0.611
2.850e+02,    0.375,    0.625
2.860e+02,    0.361,    0.639
2.870e+02,    0.348,    0.652
2.880e+02,    0.336,    0.664
2.890e+02,    0.323,    0.677
2.900e+02,    0.312,    0.688
2.910e+02,    0.301,    0.699
2.920e+02,    0.291,    0.709
2.930e+02,    0.281,    0.719
2.940e+02,    0.273,    0.727
2.950e+02,    0.265,    0.735
2.960e+02,    0.258,    0.742
2.970e+02,    0.251,    0.749
2.980e+02,    0.246,    0.754
2.990e+02,    0.241,    0.759
3.000e+02,    0.238,    0.762
3.010e+02,    0.235,    0.765
3.020e+02,    0.234,    0.766
3.030e+02,    0.233,    0.767
3.040e+02,    0.234,    0.766
3.050e+02,    0.235,    0.765
3.060e+02,    0.238,    0.762
3.070e+02,    0.242,    0.758
3.080e+02,    0.247,    0.753
3.090e+02,    0.253,    0.747
3.100e+02,    0.260,    0.740
3.110e+02,    0.268,    0.732
3.120e+02,    0.278,    0.722
3.130e+02,    0.289,    0.711
3.140e+02,    0.301,    0.699
3.150e+02,    0.314,    0.686
3.160e+02,    0.328,    0.672
3.170e+02,    0.344,    0.656
3.180e+02,    0.361,    0.639
3.190e+02,    0.379,    0.621
3.200e+02,    0.399,    0.601
3.210e+02,    0.419,    0.581
3.220e+02,    0.441,    0.559
3.230e+02,    0.464,    0.536
3.240e+02,    0.489,    0.511
3.250e+02,    0.514,    0.486
3.260e+02,    0.541,    0.459
3.270e+02,    0.569,    0.431
3.280e+02,    0.598,    0.402
3.290e+02,    0.628,    0.372
3.300e+02,    0.660,    0.340
3.310e+02,    0.693,    0.307
3.320e+02,    0.726,    0.274
3.330e+02,    0.761,    0.239
3.340e+02,    0.797,    0.203
3.350e+02,    0.835,    0.165
3.360e+02,    0.873,    0.127
3.370e+02,    0.912,    0.088
3.380e+02,    0.952,    0.048
